ID,ECLO
ACCIDENT_39609,4.443855967822317
ACCIDENT_39610,3.9103982353708293
ACCIDENT_39611,6.111456769862352
ACCIDENT_39612,5.321978395241961
ACCIDENT_39613,5.188782549009212
ACCIDENT_39614,5.129815422326922
ACCIDENT_39615,5.1601530061119565
ACCIDENT_39616,4.073386678843372
ACCIDENT_39617,4.719030015039197
ACCIDENT_39618,5.050628709094865
ACCIDENT_39619,5.054579626416148
ACCIDENT_39620,3.551577100585289
ACCIDENT_39621,4.704909069599911
ACCIDENT_39622,3.6985607873835242
ACCIDENT_39623,3.7127600546185486
ACCIDENT_39624,5.176944012646535
ACCIDENT_39625,5.500005233807491
ACCIDENT_39626,4.895116501959535
ACCIDENT_39627,5.0053971394275605
ACCIDENT_39628,5.433486792754534
ACCIDENT_39629,5.42557472598792
ACCIDENT_39630,3.616969158911424
ACCIDENT_39631,4.748365209081901
ACCIDENT_39632,5.213295416730346
ACCIDENT_39633,4.835097903799508
ACCIDENT_39634,5.122581776740658
ACCIDENT_39635,5.0935801001200485
ACCIDENT_39636,5.482986018421976
ACCIDENT_39637,3.903433540347118
ACCIDENT_39638,5.101717119798392
ACCIDENT_39639,5.2272327215096
ACCIDENT_39640,4.846982260487891
ACCIDENT_39641,5.334461177070761
ACCIDENT_39642,3.899358258443274
ACCIDENT_39643,5.09313598103727
ACCIDENT_39644,3.736305249604849
ACCIDENT_39645,4.304075467917721
ACCIDENT_39646,5.250559098844234
ACCIDENT_39647,5.22804500459609
ACCIDENT_39648,5.1998110162006
ACCIDENT_39649,3.747531748718642
ACCIDENT_39650,3.794029115515575
ACCIDENT_39651,4.642136103058431
ACCIDENT_39652,5.010875529131141
ACCIDENT_39653,3.9272577561527067
ACCIDENT_39654,3.5153053993048937
ACCIDENT_39655,4.538473287509262
ACCIDENT_39656,4.06894569629646
ACCIDENT_39657,4.89020826255193
ACCIDENT_39658,4.766321174500558
ACCIDENT_39659,4.48975129566433
ACCIDENT_39660,4.8640780194579465
ACCIDENT_39661,4.829646458658151
ACCIDENT_39662,4.655863476565582
ACCIDENT_39663,4.8108923422534415
ACCIDENT_39664,4.391721219429678
ACCIDENT_39665,4.593802614287811
ACCIDENT_39666,3.670065984995282
ACCIDENT_39667,4.88296142270322
ACCIDENT_39668,3.5754772575691893
ACCIDENT_39669,3.7643400559077147
ACCIDENT_39670,5.096606310092253
ACCIDENT_39671,5.030975484504922
ACCIDENT_39672,4.5862391233344955
ACCIDENT_39673,3.874420164582187
ACCIDENT_39674,4.948872540894831
ACCIDENT_39675,4.107629981972132
ACCIDENT_39676,4.956267868593451
ACCIDENT_39677,4.083911220156206
ACCIDENT_39678,4.060250089596736
ACCIDENT_39679,4.928434124152019
ACCIDENT_39680,4.965160628903416
ACCIDENT_39681,3.9138940506191737
ACCIDENT_39682,4.629719748441051
ACCIDENT_39683,3.9811397813178075
ACCIDENT_39684,4.62065375253185
ACCIDENT_39685,5.438142385094773
ACCIDENT_39686,5.200882762882091
ACCIDENT_39687,5.443712130409764
ACCIDENT_39688,3.5122112802111554
ACCIDENT_39689,4.898616282729543
ACCIDENT_39690,4.9384528561592695
ACCIDENT_39691,4.111927008369995
ACCIDENT_39692,5.012872949752135
ACCIDENT_39693,3.942645398336954
ACCIDENT_39694,5.264815169026705
ACCIDENT_39695,4.9612565408204
ACCIDENT_39696,5.067041377808468
ACCIDENT_39697,4.559769278898962
ACCIDENT_39698,5.130209595717312
ACCIDENT_39699,4.484474025248089
ACCIDENT_39700,4.890421447021291
ACCIDENT_39701,5.199763686255064
ACCIDENT_39702,4.977278973876301
ACCIDENT_39703,5.302775616283673
ACCIDENT_39704,4.548196015230164
ACCIDENT_39705,4.921086045286428
ACCIDENT_39706,3.854314093014011
ACCIDENT_39707,5.298248359812364
ACCIDENT_39708,4.856343601954378
ACCIDENT_39709,4.774986621284173
ACCIDENT_39710,4.352892903073933
ACCIDENT_39711,4.875691120337267
ACCIDENT_39712,4.265466195922524
ACCIDENT_39713,4.682497102477061
ACCIDENT_39714,4.994437060519429
ACCIDENT_39715,5.568087165493951
ACCIDENT_39716,4.639341102446994
ACCIDENT_39717,5.102541739380054
ACCIDENT_39718,4.656993202362094
ACCIDENT_39719,4.603041012020703
ACCIDENT_39720,4.723577180408517
ACCIDENT_39721,4.694762142452935
ACCIDENT_39722,4.847790032883671
ACCIDENT_39723,4.666465249653712
ACCIDENT_39724,4.74615588967554
ACCIDENT_39725,4.674598439867445
ACCIDENT_39726,4.694819657972108
ACCIDENT_39727,3.653754544720325
ACCIDENT_39728,4.503813701609864
ACCIDENT_39729,4.66639436643978
ACCIDENT_39730,4.720745819430753
ACCIDENT_39731,4.5998272956292485
ACCIDENT_39732,3.9297211456676284
ACCIDENT_39733,4.561678742788137
ACCIDENT_39734,3.7490742328332223
ACCIDENT_39735,4.823920637864261
ACCIDENT_39736,5.179578466660328
ACCIDENT_39737,4.066825251077364
ACCIDENT_39738,4.691937744808252
ACCIDENT_39739,4.631829483036573
ACCIDENT_39740,4.5287092172985695
ACCIDENT_39741,3.6482968130508944
ACCIDENT_39742,4.640043226915937
ACCIDENT_39743,4.560670721385448
