도시,구,동,위도,경도
대구광역시,중구,대신동,35.85435563994684,128.61381472232088
대구광역시,달서구,감삼동,35.84232118215456,128.5386062325238
대구광역시,수성구,두산동,35.86940409586168,128.62083507059054
대구광역시,북구,복현동,35.86940409586168,128.62083507059054
대구광역시,동구,신암동,35.87066154151464,128.5949947988467
대구광역시,달서구,감삼동,35.84232118215456,128.5386062325238
대구광역시,수성구,지산동,35.86895119111388,128.5949947988467
대구광역시,달서구,상인동,35.83928237303521,128.54562658079345
대구광역시,북구,태전동,35.86631901776227,128.5949947988467
대구광역시,동구,지묘동,35.86895119111388,128.5949947988467
대구광역시,서구,평리동,35.86631901776227,128.59404423817105
대구광역시,동구,신기동,35.87066154151464,128.6158609957673
대구광역시,서구,상리동,35.86940409586168,128.62083507059054
대구광역시,달서구,월성동,35.84053981868817,128.51978630904958
대구광역시,수성구,황금동,35.86631901776227,128.5972299751326
대구광역시,북구,구암동,35.866327575149924,128.61381472232088
대구광역시,동구,신천동,35.87066154151464,128.5949947988467
대구광역시,수성구,만촌동,35.86940409586168,128.62083507059054
대구광역시,중구,남산동,35.85435563994684,128.61381472232088
대구광역시,서구,비산동,35.86940409586168,128.62083507059054
대구광역시,북구,침산동,35.86631901776227,128.5949947988467
대구광역시,달서구,두류동,35.83928237303521,128.54562658079345
대구광역시,서구,평리동,35.86631901776227,128.59404423817105
대구광역시,수성구,신매동,35.87066154151464,128.5949947988467
대구광역시,달서구,대곡동,35.82423391712036,128.5386062325238
대구광역시,달성군,유가읍,35.84053981868817,128.51978630904958
대구광역시,달성군,논공읍,35.82423391712036,128.5386062325238
대구광역시,동구,율하동,35.87066154151464,128.5949947988467
대구광역시,수성구,만촌동,35.86940409586168,128.62083507059054
대구광역시,수성구,시지동,35.87066154151464,128.6158609957673
대구광역시,동구,봉무동,35.86940409586168,128.62083507059054
대구광역시,동구,율하동,35.87066154151464,128.5949947988467
대구광역시,달서구,상인동,35.83928237303521,128.54562658079345
대구광역시,달성군,다사읍,35.82423391712036,128.5386062325238
대구광역시,중구,동산동,35.85435563994684,128.61841721919012
대구광역시,달서구,두류동,35.83928237303521,128.54562658079345
대구광역시,달서구,대곡동,35.82423391712036,128.5386062325238
대구광역시,서구,평리동,35.86631901776227,128.59404423817105
대구광역시,서구,이현동,35.87066154151464,128.5949947988467
대구광역시,달서구,두류동,35.83928237303521,128.54562658079345
대구광역시,남구,이천동,35.841095516444994,128.55538967663114
대구광역시,달성군,유가읍,35.84053981868817,128.51978630904958
대구광역시,수성구,수성동4가,35.86940409586168,128.62083507059054
대구광역시,북구,노원동3가,35.85435563994684,128.61381472232088
대구광역시,서구,비산동,35.86940409586168,128.62083507059054
대구광역시,북구,서변동,35.86940409586168,128.62083507059054
대구광역시,북구,관음동,35.866327575149924,128.61381472232088
대구광역시,북구,학정동,35.86631901776227,128.59404423817105
